id,sentence,sentiment
28,"Tampere Scientist Parks is a Finnish corporate that owns , leasing and builds office properties and it specialises in formations for technology-oriented industries ",2
29,"Tampere Veda Parks is a Finnish company that owns , leasing and construction office properties and it specialises in installing for technology-oriented businesses ",2
30,The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 ,1
31,Du reales estate company posted a net loosing of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 for share versus with a wisp soared of +ó  x201a -¼ 31 miilion +ó  x201a -¼ 0.11 by sharing for the corresponding quarter of 2007 ,1
32,Of truly estate businesses posted a net loss of +ó  x201a -¼ 59.3 zillion +ó  x201a -¼ 0.21 by share compared with a net advantage of +ó  x201a -¼ 31 million +ñ  x201a -¼ 0.11 per exchange for the correspond quarter of 2007 ,1
33,The actual estate company posted a net losing of +ó  x201a -¼ 59.3 millionth +ñ  x201a -¼ 0.21 paras share compared with a net dividend of +ó  x201a -¼ 31 millionth +ó  x201a -¼ 0.11 paras exchanging for the corresponding quarter of 2007 ,1
34,The real estate companies mailed a tenderloin loss of +ó  x201a -¼ 59.3 zillion +ó  x201a -¼ 0.21 per share likened with a net get of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 at shares for the corresponding quarter of 2007 ,1
35,The real estate contractors posted a net loss of +ó  x201a -¼ 59.3 umpteenth +ó  x201a -¼ 0.21 at shares compare with a wisp benefit of +ñ  x201a -¼ 31 millionth +ó  x201a -¼ 0.11 per traded for the corresponding quarter of 2007 ,1
36,The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate ,2
37,Du Oxyview Pulse Oximeter is a common device to audited patient blood-oxygen saturation level and pulse ratios ,2
38,The Oxyview Pulse Oximeter is a common device to audit patient blood-oxygen saturation level and pulses accelerating ,2
39,The Oxyview Pulse Oximeter is a common equipment to audit patient blood-oxygen saturation level and pulse velocities ,2
40,The Oxyview Pulse Oximeter is a shared device to revisions patient blood-oxygen saturation level and pulse airspeed ,2
41,The Oxyview Pulses Oximeter is a commons devices to inspection patient blood-oxygen saturation level and pulse rate ,2
42,"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 ",2
43,"Componenta has produce tube for similar-sized generate at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a merged output of about 100,000 shitloads and fillet sales of EURO 135 billion in 2007 ",2
44,"Componenta has produces lines for similar-sized produces at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a conjugate output of hardly 100,000 tonne and fillet sales of EUR 135 billions in 2007 ",2
45,"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Dutch and at Orhangazi in Turkey , and these had a blending output of circa 100,000 ton and netting sales of EUROS 135 billions in 2007 ",2
46,"Componenta has production pipes for similar-sized produced at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkic , and these had a merges output of approximately 100,000 ton and tenderloin sell of EUR 135 million in 2007 ",2
47,"Componenta has productivity lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a mixing output of practically 100,000 tonnes and wisp selling of EUR 135 billions in 2007 ",2
48,"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years ",1
49,"De EU Commission say earlier it had fined ThyssenKrupp , Unified Technologies Corp 's Otis , Schindler AG and Kone Oyj a aggregate of 992.3 billion euros for supposed cartel activity in the lift mercado going back twelve years ",1
50,"The EU Commission said ago it had fined ThyssenKrupp , Unidos Technological Corp 's Otis , Schindler AG and Kone Oyj a totalled of 992.3 mln euro for alleged cartel activity in the lifter interchange going back twelve yrs ",1
51,"The EU Commitee said formerly it had fined ThyssenKrupp , United Technique Corp 's Otis , Schindler AG and Kone Oyj a whole of 992.3 millionth eur for presumption cartel activity in the elevation marketplace going back twelve years ",1
52,"The UE Commission confirming before it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a whole of 992.3 mln eur for alleged cartel activity in the lifter marketed going back twelve years ",1
53,"The UE Commission highlighting precedent it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a holistic of 992.3 millionth eur for alleged cartel operandi in the lift commercialized going back dozen years ",1
54,"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 ",0
55,"The business 's scheduled traffic , measured in revenue traveller kilos RPK , expand by just over 2 % and almost 3 % more passengers were carried on scheduled flights than in Aug 2009 ",0
56,"The company 's anticipated traffic , measured in revenue passenger kilometres RPK , increases by just over 2 % and around 3 % more visitor were carried on envisioned flights than in July 2009 ",0
57,"The company 's scheduled traffic , measured in earnings passenger kilometres RPK , heightened by just over 2 % and closest 3 % more visitors were carried on scheduled thefts than in September 2009 ",0
58,"The company 's scheduled traffic , measured in revenue travellers kilometres RPK , growth by just over 2 % and circa 3 % more passengers were carried on prophesied hovering than in September 2009 ",0
59,"The enterprise 's scheduled traffic , measured in proceeds passenger kms RPK , hops by just over 2 % and nearly 3 % more passengers were carried on predict larceny than in February 2009 ",0
60,Le Lay succeeds Walter G++nter and will be based in Finland ,2
61,Lai Lay succeed Walter G++nter and will be founded in Finland ,2
62,Lai Lay succeed Walter G++nter and will be predicated in Finland ,2
63,Le Lay succeeds Falter g++nter and will be basis in Finland ,2
64,Le Lay succeeds Walter grams++nter and will be footing in Finland ,2
65,Le Lay succeeds Walter sg++nter and will be founded in Finns ,2
66,"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m ",2
67,"Du outright scope of the projects is about 38,000 galleria metres and it is valued at a total of about EUR75m ",2
68,"The all scope of the project is about 38,000 square meters and it is values at a aggregate of roundabout EUR75m ",2
69,"The entire scope of the project is about 38,000 square m and it is valued at a accounted of toward EUR75m ",2
70,"The total scope of the draft is about 38,000 square yards and it is prized at a generals of about EUR75m ",2
71,"To generals scope of the project is about 38,000 quadratic metres and it is valued at a unmitigated of throughout EUR75m ",2
72,"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor ",2
73,"Du furnished airfare is $ 35 million , encompassing cash of $ 10 million as netted debt assumption of FACE , and $ 20 zillion worth of Cencorp shares to be issued to Savcor ",2
74,"Du supply fares is $ 35 billions , including cash of $ 10 trillions as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor ",2
75,"The provide fare is $ 35 billion , embraces cash of $ 10 millionth as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor ",2
76,"The provide prix is $ 35 billion , including cash of $ 10 mln as net debt assumption of FACE , and $ 20 miilion worth of Cencorp shares to be issued to Savcor ",2
77,"The supplying cost is $ 35 million , composed cash of $ 10 billions as net debt presumption of FACE , and $ 20 billion worth of Cencorp shares to be issued to Savcor ",2
78,The acquisition is expected to take place by the end of August 2007 ,2
79,Du acquisition is predicts to take place by the halted of August 2007 ,2
80,The acquisition is contemplated to taking place by the terminates of August 2007 ,2
81,The acquisition is prophesied to adopt place by the terminating of August 2007 ,2
82,The purchased is predictions to take place by the finalizing of August 2007 ,2
83,The purchases is contemplated to take place by the terminate of August 2007 ,2
84,Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 ,0
85,Pretax benefit hikes to EUR 17.8 mn from EUR 14.9 min in 2005 ,0
86,Pretax benefit intensify to EUR 17.8 mn from EUR 14.9 manganese in 2005 ,0
87,Pretax earns raised to EUR 17.8 mn from EUROS 14.9 mn in 2005 ,0
88,Pretax perks increased to EUR 17.8 minute from EUR 14.9 mn in 2005 ,0
89,Pretax win rocketed to EUROS 17.8 mn from EUR 14.9 mn in 2005 ,0
90,"After the sale , Savcor Group Ltd will comprise Savcor ART , a corporate function and an investment in Cencorp Corporation ",2
91,"After the sale , Savcor Group Inc will compound Savcor ART , a businesses function and an investment in Cencorp Company ",2
92,"After the sale , Savcor Group Ltd will composing Savcor ARTE , a company function and an investment in Cencorp Company ",2
93,"After the sale , Savcor Grouping Ltd will comprise Savcor ART , a corporations operating and an investors in Cencorp Corporation ",2
94,"After the sale , Savcor Panel Ltd will comprising Savcor ART , a businesses operative and an investment in Cencorp Corporation ",2
95,"Than the sale , Savcor Groups Ltd will comprise Savcor ART , a corporate function and an investor in Cencorp Corporation ",2
96,"An  of the invention , released by the Patent Office , said : `` A non-coherent search matrix is formed of said correlation function matrix ",2
97,"An  of the contrivance , releases by the Patent Office , said : `` A non-coherent browse matrix is shape of said correlation operate matrix ",2
98,"An  of the invention , freeing by the Patent Office , declared : `` A non-coherent searches matrix is trained of said correlation roles matrix ",2
99,"An  of the invention , releasing by the Patent Office , pointed : `` A non-coherent searching matrix is trained of tell correlation function matrix ",2
100,"An  of the inventor , emancipation by the Patented Office , said : `` A non-coherent searching matrix is formed of said correlation function matrix ",2
101,"An  of the inventor , frees by the Patent Office , affirmed : `` A non-coherent quest matrix is formed of said correlation operations matrix ",2
102,"Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola ",2
103,"Jensen , Njastein and Geraldo Critch , the head of Dovre Northward America corporate unit , will report to Toivola ",2
104,"Jensen , Njastein and Mich Critch , the heads of Dovre Northern America undertakings unit , will report to Toivola ",2
105,"Jensen , Njastein and Mick Critch , the head of Dovre Scandinavia Latin enterprising unit , will report to Toivola ",2
106,"Jensen , Njastein and Mike Critch , the heads of Dovre Norte Usa entrepreneurial unit , will report to Toivola ",2
107,"Jensen , Njastein and Mike Critch , the leiter of Dovre Northerners Usa business unit , will report to Toivola ",2
108,"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR ",0
109,"( ADP News ) - Aug 5 , 2008 - Finland electronic measurement products and solutions builder Vaisala Oyj ( OMX : VAIAS ) declared today that its netted profit increasing to EUR 18 million ( DOLLAR 23.1 m ) for the first nine months of 2008 from EUROS ",0
110,"( ADP News ) - January 5 , 2008 - Fein electronic measurement products and solutions industrialists Vaisala Oyj ( OMX : VAIAS ) said today that its fillet perks rose to EUR 18 million ( USD 23.1 m ) for the upfront nine mois of 2008 from EUROS ",0
111,"( ADP News ) - Juli 5 , 2008 - Helsinki electronic measurement produces and solves maker Vaisala Oyj ( OMX : VAIAS ) said today that its detaining profit rocketed to EUR 18 billion ( USD 23.1 m ) for the incipient nine months of 2008 from EUR ",0
112,"( ADP News ) - July 5 , 2008 - Finnish electronic measurement products and solutions producers Vaisala Oyj ( OMX : VAIAS ) announces presently that its wisp profits rose to EUR 18 million ( USD 23.1 m ) for the primo nine month of 2008 from EUR ",0
113,"( ADP Presse ) - Nov 5 , 2008 - Stockholm electronically measurements products and solution constructor Vaisala Oyj ( OMX : VAIAS ) said today that its net profit climbed to EUR 18 millions ( USD 23.1 m ) for the first nine months of 2008 from EUR ",0
114,"As such , the space has blond wood floors ( unlike the rest of the store ) and a notably Scandinavian vibe ",2
115,"As such , the space has blond firewood floors ( unlike the rest of the drugstore ) and a particularly Scandinavian atmosphere ",2
116,"As such , the space has blond wood floors ( unlike the resting of the drugstore ) and a notably Scandinavian vibration ",2
117,"As such , the space has blond wood floors ( unlike the stays of the store ) and a interestingly Scandinavian ambiance ",2
118,"As such , the space has brunettes sawing floors ( unlike the rest of the store ) and a principally Scandinavian vibe ",2
119,"As such , the space has pallid wood flooring ( unlike the rest of the boutique ) and a predominantly Scandinavian vibe ",2
120,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year ",0
121,"Ramirent 's fillets sales in the second quarterended November 30 were EURO 128.7 miilion about U.S. $ 163 million , a 3.3-percent enhanced comparisons with EURO 124.6 million for thesecond quarter finally year ",0
122,"Ramirent 's net sales in the second quarterended August 30 were EURO 128.7 mln about U.S. $ 163 million , a 3.3-percent climb compare with EURO 124.6 miilion for thesecond quarter last year ",0
123,"Ramirent 's net sales in the secondly quarterended Sept 30 were EURO 128.7 million about U.S. $ 163 zillion , a 3.3-percent enhances versus with EUROS 124.6 million for thesecond quarter latest year ",0
124,"Ramirent 's net sells in the second quarterended Nov 30 were EURO 128.7 mln about U.S. $ 163 millionth , a 3.3-percent ascended comparisons with EURO 124.6 million for thesecond quarter past year ",0
125,"Ramirent 's net sells in the second quarterended September 30 were EUROS 128.7 million about U.S. $ 163 million , a 3.3-percent rise likened with EURO 124.6 mln for thesecond quarter last year ",0
126,"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group ",0
127,"Citigroup , Inc ( NYSE : C ) has announce that its Globally Transaction Services ( GTS ) companies has been recognise a new mandate by Finland-based Pohjola Bank Gatherings ",0
128,"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Service ( GTS ) businesses has been granted a nouveau mandate by Finland-based Pohjola Bank Groupings ",0
129,"Citigroup , Inc ( NYSE : jim ) has advertises that its Internationally Transaction Services ( GTS ) enterprises has been awarded a nouveau mandate by Finland-based Pohjola Bank Group ",0
130,"Citigroup , Lnc ( NYSE : C ) has advertises that its International Transaction Services ( GTS ) business has been ascribed a new mandate by Finland-based Pohjola Bank Grupo ",0
131,"Citigroup , Ltd ( NYSE : C ) has proclaiming that its Worldwide Transactions Services ( GTS ) corporate has been awarded a new mandate by Finland-based Pohjola Bank Group ",0
132,"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil ",0
133,"De Australia corporate Mirabela Nickel has awarded Outokumpu Techno a contract for grinding technology for its nickel sulfide draft in Bahia State , Brazil ",0
134,"Du Aus corporate Mirabela Nickel has bestowed Outokumpu Technology a contract for grinding techs for its nickel sulfide project in Bahia State , Brazil ",0
135,"Nova Australian company Mirabela Nicol has mapped Outokumpu Technology a contract for squeaking techno for its nickel sulfide project in Bahia State , Brazil ",0
136,"The Australian company Mirabela Nickel has attributed Outokumpu Technicians a marketplace for grinding technology for its snug sulfide draft in Bahia State , Brazil ",0
137,"The Australian company Mirabela Nickel has awarded Outokumpu Technology a markets for squeaking technology for its nickel sulfide draft in Bahia Estado , Brazil ",0
138,"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland ",0
139,"Vaahto Batter & Paper , of Finnish Vaahto Group , has been allotted an order to renovate Finnish-Swedish forests industry company Stora Enso 's paperboard jukebox at the Ingerois Board Steelworks in Finnish ",0
140,"Vaahto Macaroni & Paper , of Finnish Vaahto Group , has been conferred an order to renovate Finnish-Swedish forest industries enterprises Stora Enso 's paperboard delorean at the Ingerois Councils Mill in Finland ",0
141,"Vaahto Macaroni & Paper , of Finns Vaahto Panel , has been awarded an injunction to rehabilitation Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Moulin in Finland ",0
142,"Vaahto Pasta & Papers , of Finnish Vaahto Clusters , has been accorded an order to renovating Finnish-Swedish forest industry firms Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland ",0
143,"Vaahto Pulp & Paper , of Finland Vaahto Groupings , has been awarded an order to resurrect Finnish-Swedish forest departments enterprises Stora Enso 's paperboard appliance at the Ingerois Board Mill in Finland ",0
144,The capital structure of Solidium may be complemented by other financial instruments in the future ,2
145,The capital structure of Solidium may be addendum by other funds tool in the future ,2
146,The capital structure of Solidium may be completes by other finance instruments in the forthcoming ,2
147,The capital structures of Solidium may be complemented by other financial paraphernalia in the futuristic ,2
148,The capital structures of Solidium may be complemented by other financial tool in the futur ,2
149,The kapital structural of Solidium may be complemented by other financial instrument in the future ,2
150,The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year ,0
151,The rationalization of the operandi seeks to achieve over EUR 1 million in yearly savings as from the secs quarter of the moderne monetary yrs ,0
152,The rationalization of the operandi tempted to achieve over EUR 1 million in yearly saved as from the second quarter of the current financed year ,0
153,The rationalization of the operations striving to achieve over EUR 1 millionth in yearly savings as from the second quarter of the current financials leto ,0
154,The simplify of the operations trying to achieve over EURO 1 million in yearly rescued as from the second quarter of the moderne financial year ,0
155,The uncomplicated of the operations seek to obtain over EUR 1 million in yr savings as from the secs quarter of the current financial year ,0
156,The bank sees a potential for Getinge share to rise ,0
157,The bank feels a potential for Getinge share to rallying ,0
158,The bank sees a possibilities for Getinge share to rise ,0
159,The bank sees a potential for Getinge interchange to ascension ,0
160,The bank sees a potential for Getinge shares to rise ,0
161,The banks sees a potential for Getinge share to escalates ,0
162,"The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets ",2
163,"De company 's plant in Russia will nonstop to make wheeled for its near marketplace , while the plant in Nokia in Finland will fabricating tyres for other commercialized ",2
164,"Du societies 's plant in Russia will lifelong to make tyres for its near markets , while the plants in Nokia in Finland will manufacture tires for other contracting ",2
165,"Nova societies 's plant in Russia will lifelong to make tyres for its closest contractual , while the centers in Nokia in Finland will manufacture tyres for other markets ",2
166,"The corporations 's plant in Russia will persevere to make tyres for its nearest markets , while the plant in Nokia in Helsinki will manufacture tyres for other markets ",2
167,"The undertakings 's installations in Russia will continued to make tyres for its near markets , while the facility in Nokia in Finns will manufacture tyres for other markets ",2
168,"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 ",1
169,"Burdening traffic fallen 1 % year-on-year to 8,561 tonnes in September 2009 ",1
170,"Cargo traffic dipped 1 % year-on-year to 8,561 tonnes in September 2009 ",1
171,"Cargo traffic shortening 1 % year-on-year to 8,561 tons in September 2009 ",1
172,"Dispatches traffic dips 1 % year-on-year to 8,561 tonnes in September 2009 ",1
173,"Loading traffic plunges 1 % year-on-year to 8,561 tonnes in September 2009 ",1
174,"Subscribers of China Unicom , the nation 's second largest mobile phone operator after China Mobile , are expected to release pictures , videos and blog on the Internet via mobile phones as of March 2008 ",2
175,"Subscriber of China Unicom , the nation 's seconds wider mobile phone operator after China Mobile , are expected to liberating pictures , image and blog on the Onscreen via portable phones as of March 2008 ",2
176,"Subscribers of China Unicom , the nation 's secondly greatest mobile tel operator after Hwa Cellphone , are expected to release pictures , photographer and blog on the Internet via mobile telephone as of March 2008 ",2
177,"Subscribers of China Unicom , the nations 's second greatest mobiles phone operator after China Mobile , are expected to liberation photographer , videos and blog on the Web via mobil phones as of March 2008 ",2
178,"Subscribers of Wa Unicom , the nations 's second most mobile phone operator after China Moveable , are foresee to release pictures , videos and blog on the Internet via notebooks cellphones as of March 2008 ",2
179,"Subscription of China Unicom , the nationals 's second greater mobile phone operator after China Mobile , are expected to liberated stills , video and blog on the Internet via laptop phones as of March 2008 ",2
180,"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million ",0
181,"Earnings expanding by 2 percent to  x20ac 580 mln $ 743 million , from  x20ac 569 million ",0
182,"Incomes soared by 2 percent to  x20ac 580 million $ 743 mln , from  x20ac 569 million ",0
183,"Revenue climb by 2 percent to  x20ac 580 billions $ 743 million , from  x20ac 569 million ",0
184,"Revenue waves by 2 percent to  x20ac 580 billion $ 743 billions , from  x20ac 569 million ",0
185,"Revenues boosts by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million ",0
186,"The inaugural speech will be given by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic ",2
187,"Du inaugural declarations will be allotted by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic ",2
188,"The inaugural discourses will be conferred by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republican ",2
189,"The inauguration discourses will be given by Hannu Kyrolainen , Finns 's Ambassador to the Czech Republic ",2
190,"The opened speeches will be conferred by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic ",2
191,"To introductory speech will be given by Hannu Kyrolainen , Finland 's Ambassadors to the Czech Republican ",2
192,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press ",2
193,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a group press ",2
194,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has draft a panel journalistic ",2
195,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has elaborated a panel press ",2
196,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has phrased a groupings journalistic ",2
197,"ALEXANDRIA , Va. , Marci 15 -- Jaakko Vilo of Turku , Finland , has worded a panel columnist ",2
198,SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) ,0
199,SCANIA Morgan Stanley elevating the exchanges objectives on Swede heavy-duty truck and bus constructor Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) ,0
200,SCANIA Morgan Stanley hoist the share geared on Crown heavy-duty truck and bus producer Scania AB to 330 kronor ( $ 42.4 - 35.2 euro ) from 310 sek ( $ 39.8 - 33.1 euro ) ,0
201,SCANIA Morgan Stanley lifted the exchanged intending on Krone heavy-duty trucking and bus manufacturer Scania AB to 330 kronor ( $ 42.4 - 35.2 euro ) from 310 sek ( $ 39.8 - 33.1 euro ) ,0
202,SCANIA Morgan Stanley lifted the shares target on Swedes heavy-duty trucking and coach manufacturers Scania AB to 330 wreaths ( $ 42.4 - 35.2 eur ) from 310 crowns ( $ 39.8 - 33.1 euro ) ,0
203,SCANIA Morgana Stanley lifted the exchanges ambitions on Swedish heavy-duty truck and coach builder Scania AB to 330 crowns ( $ 42.4 - 35.2 eur ) from 310 garlands ( $ 39.8 - 33.1 euro ) ,0
204,Finnish food industry company L+ñnnen Tehtaat is planning changes to its fish product business ,2
205,Finnish food industria company L+ñnnen Tehtaat is programs changes to its fish foodstuffs business ,2
206,Finnish food industry companies L+ñnnen Tehtaat is planning alterations to its fish product undertakings ,2
207,Finnish food industry company L+ñnnen Tehtaat is emissions changed to its fish product industries ,2
208,Finnish nourish industry corporations L+ñnnen Tehtaat is planning changes to its fish product undertake ,2
209,Finnish nutritional industry companies L+ñnnen Tehtaat is planning modifications to its fish product business ,2
210,Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR ,2
211,Cargotec 's business area furthermore include the container handling solutions business zoning Kalmar and the marine cargo handling and offshore load handling solutions societies sphere MacGREGOR ,2
212,Cargotec 's business areas also include the container handling solutions enterprising areas Kalmar and the marine freight deal and offshore load handling solutions ventures area MacGREGOR ,2
213,Cargotec 's business realms also include the container manipulating solutions business zoning Kalmar and the marine uploaded handling and offshore caseload handling solutions business area mcgregor ,2
214,Cargotec 's corporation zones also include the container handling solutions business area Kalmar and the navy burdens handling and offshore payload handling solutions business realms MacGREGOR ,2
215,Cargotec 's corporations sphere also comprise the container handling solutions business zona Kalmar and the seafaring cargo handling and offshore load handling solutions corporations area MacGREGOR ,2
216,"Thus the method will cut working costs , and will fasten the planning and building processes ",0
217,"Accordingly the method will cut working charge , and will fasten the regime and building processes ",0
218,"Consequently the method will haircut partnered costs , and will fasten the planning and building processes ",0
219,"Thus the method will cut conjunction priced , and will fasten the scheme and building processes ",0
220,"Thus the method will cut cooperation costs , and will fasten the schemes and building processes ",0
221,"Thus the methodology will cut working expense , and will fasten the regimen and building processes ",0
222,Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 ,0
223,Operate income enhancement to EUR 696.4 min from EUR 600.3 mn in 2009 ,0
224,Operate income widened to EUR 696.4 manganese from EUR 600.3 mn in 2009 ,0
225,Operated receipts climbs to EUR 696.4 mn from EUR 600.3 mn in 2009 ,0
226,Operating income enhanced to EUR 696.4 minnesota from EUR 600.3 manganese in 2009 ,0
227,Operating proceeds ascent to EUR 696.4 min from EUR 600.3 mn in 2009 ,0
228,Finnish media group Talentum has issued a profit warning ,1
229,Finn media group Talentum has issued a profit warnings ,1
230,Finnish media group Talentum has issued a earnings cautionary ,1
231,Finnish media groups Talentum has issued a gains warning ,1
232,Finnish media grupo Talentum has issued a profit cautionary ,1
233,Finns media group Talentum has issued a profit warn ,1
234,"Danske Bank A-S DANSKE DC jumped 3.7 percent to 133.4 kroner , rebounding from yesterday s 3.5 percent slide ",0
235,"Danske Banco A-S DANSKE DC rises 3.7 percent to 133.4 kroner , rebounding from yesterday s 3.5 percent slider ",0
236,"Danske Bank A-S DANSKE CC leaped 3.7 percent to 133.4 sek , rebounding from tuesdays s 3.5 centigrade slide ",0
237,"Danske Bank A-S DANSKE DC banged 3.7 percent to 133.4 kronor , rebounding from yesterday s 3.5 percent slide ",0
238,"Danske Bank A-S DANSKE DC soar 3.7 percent to 133.4 ek , rebounding from monday s 3.5 percent sliding ",0
239,"Danske Banks A-S DANSKE DC dropped 3.7 percent to 133.4 corona , rebounding from yesterday s 3.5 percent slider ",0
