id,original_sentence,attack_sentence,sentiment
18,"The Australian company Mirabela Nickel has [[awarded]] Outokumpu Technology a [[contract]] for grinding [[technology]] for its nickel sulfide [[project]] in Bahia [[State]] , Brazil","The Australian company Mirabela Nickel has [[auctioned]] Outokumpu Technology a [[marketed]] for grinding [[techniques]] for its nickel sulfide [[draft]] in Bahia [[Estado]] , Brazil",0
19,"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been [[awarded]] an order to [[renovate]] Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland","Vaahto Pulp & Paper , of Finnish Vaahto Group , has been [[ascribed]] an order to [[renewal]] Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland",0
20,The [[capital]] [[structure]] of Solidium may be complemented by other financial instruments in the future,The [[capitalization]] [[architecture]] of Solidium may be complemented by other financial instruments in the future,2
21,The [[rationalization]] of the [[operations]] [[seeks]] to achieve over EUR 1 million in yearly [[savings]] as from the second quarter of the current [[financial]] year,The [[rationalize]] of the [[activities]] [[trying]] to achieve over EUR 1 million in yearly [[economize]] as from the second quarter of the current [[finances]] year,0
22,The [[bank]] sees a potential for Getinge [[share]] to rise,The [[banker]] sees a potential for Getinge [[bartered]] to rise,0
23,"The company 's plant in Russia will [[continue]] to [[make]] tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets","The company 's plant in Russia will [[persevere]] to [[bring]] tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets",2
24,"Cargo traffic [[fell]] 1 % year-on-year to 8,561 tonnes in September 2009","Cargo traffic [[stumbled]] 1 % year-on-year to 8,561 tonnes in September 2009",1
25,"Subscribers of [[China]] Unicom , the [[nation]] 's second largest mobile phone operator after China Mobile , are [[expected]] to [[release]] [[pictures]] , videos and blog on the Internet via mobile phones as of March 2008","Subscribers of [[Chine]] Unicom , the [[countries]] 's second largest mobile phone operator after China Mobile , are [[predicted]] to [[emancipate]] [[imaging]] , videos and blog on the Internet via mobile phones as of March 2008",2
26,"[[Revenue]] [[grew]] by 2 percent to  x20ac 580 [[million]] $ 743 million , from  x20ac 569 [[million]]","[[Revenues]] [[hikes]] by 2 percent to  x20ac 580 [[millions]] $ 743 million , from  x20ac 569 [[billion]]",0
27,"[[The]] inaugural [[speech]] will be [[given]] by Hannu Kyrolainen , Finland 's [[Ambassador]] to the Czech Republic","[[Pour]] inaugural [[discourse]] will be [[accorded]] by Hannu Kyrolainen , Finland 's [[Embassies]] to the Czech Republic",2
28,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , [[Finland]] , has developed a [[panel]] [[press]]","ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , [[Finns]] , has developed a [[grouped]] [[journalists]]",2
29,SCANIA Morgan Stanley [[lifted]] the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ),SCANIA Morgan Stanley [[deleted]] the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ),0
30,Finnish food industry company L+ñnnen Tehtaat is [[planning]] [[changes]] to its fish product business,Finnish food industry company L+ñnnen Tehtaat is [[program]] [[alterations]] to its fish product business,2
31,Cargotec 's [[business]] areas [[also]] [[include]] the container handling solutions [[business]] [[area]] Kalmar and the [[marine]] cargo handling and offshore [[load]] handling [[solutions]] [[business]] area MacGREGOR,Cargotec 's [[entrepreneurial]] areas [[yet]] [[which]] the container handling solutions [[firms]] [[zona]] Kalmar and the [[seafaring]] cargo handling and offshore [[burdened]] handling [[solves]] [[enterprising]] area MacGREGOR,2
32,"Thus the method will cut working [[costs]] , and will fasten the planning and building processes","Thus the method will cut working [[spending]] , and will fasten the planning and building processes",0
33,Operating [[income]] [[rose]] to EUR 696.4 mn from EUR 600.3 mn in 2009,Operating [[revenue]] [[hikes]] to EUR 696.4 mn from EUR 600.3 mn in 2009,0
34,[[Finnish]] media group Talentum has issued a profit [[warning]],[[Helsinki]] media group Talentum has issued a profit [[prudent]],1
35,"Danske Bank A-S DANSKE DC [[jumped]] 3.7 percent to 133.4 kroner , rebounding from yesterday s 3.5 percent slide","Danske Bank A-S DANSKE DC [[slipped]] 3.7 percent to 133.4 kroner , rebounding from yesterday s 3.5 percent slide",0
36,"In [[December]] alone , the members of the [[Lithuanian]] Brewers ' Association sold a total of 20.3 [[million]] [[liters]] of beer , an [[increase]] of 1.9 [[percent]] from the sales of 19.92 [[million]] liters in December 2004","In [[Janvier]] alone , the members of the [[Lithuania]] Brewers ' Association sold a total of 20.3 [[trillion]] [[gallons]] of beer , an [[enlarge]] of 1.9 [[percentage]] from the sales of 19.92 [[millions]] liters in December 2004",0
37,[[Below]] are unaudited consolidated [[results]] for Aspocomp [[Group]] under IFRS reporting [[standards]],[[Hereafter]] are unaudited consolidated [[consequences]] for Aspocomp [[Groupings]] under IFRS reporting [[rules]],2
38,[[Changes]] to the as-built models from the [[design]] were communicated to the subcontractors to accommodate them into the steel and GRC [[glass]] [[reinforced]] [[concrete]] fabrication process,[[Modifications]] to the as-built models from the [[conceive]] were communicated to the subcontractors to accommodate them into the steel and GRC [[pandora]] [[intensifying]] [[tangible]] fabrication process,2
39,Customers [[include]] hotels and [[restaurants]] as [[well]] as wholesalers and some [[retailers]],Customers [[including]] hotels and [[dietary]] as [[good]] as wholesalers and some [[distributor]],2
40,"In Finland , the five [[largest]] brands [[control]] 90 % of the beer [[market]]","In Finland , the five [[grandest]] brands [[tested]] 90 % of the beer [[mercado]]",2
41,"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , [[followed]] by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share","Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , [[adhered]] by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share",2
42,"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be [[announced]] [[later]]","The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be [[heralding]] [[following]]",2
43,"Metsa-Botnia will finance the [[payment]] of dividends , the repayment of capital and the repurchase of its own shares with the [[funds]] deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities","Metsa-Botnia will finance the [[payout]] of dividends , the repayment of capital and the repurchase of its own shares with the [[resources]] deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities",2
44,The company [[said]] that the results of the [[third]] quarter do not [[include]] non-recurring items,The company [[pointed]] that the results of the [[thirds]] quarter do not [[understand]] non-recurring items,2
45,"Of the company 's [[net]] sales , 38 % was [[acquired]] in Finland , 21 % in other [[European]] countries , 40 % in Asia , and 1 % in the US","Of the company 's [[tenderloin]] sales , 38 % was [[gained]] in Finland , 21 % in other [[Europeans]] countries , 40 % in Asia , and 1 % in the US",2
46,"A [[maximum]] of 666,104 new [[shares]] can further be [[subscribed]] for by exercising B options under the 2004 stock [[option]] [[plan]]","A [[higher]] of 666,104 new [[interchange]] can further be [[concurred]] for by exercising B options under the 2004 stock [[alternating]] [[agendas]]",2
47,[[The]] [[expansion]] is to be finalized in the [[autumn]] of 2009,[[To]] [[broadening]] is to be finalized in the [[slumps]] of 2009,2
48,"( ADP [[News]] ) - Sep 30 , 2008 - [[Finnish]] [[security]] and [[privacy]] software [[solutions]] [[developer]] Stonesoft Oyj [[said]] today that it won a USD 1.9 million ( EUR 1.3 m ) order to [[deliver]] its StoneGate network [[security]] products to an unnamed [[Russian]] t","( ADP [[Novice]] ) - Sep 30 , 2008 - [[Stockholm]] [[upholding]] and [[confidentially]] software [[solution]] [[designer]] Stonesoft Oyj [[declared]] today that it won a USD 1.9 million ( EUR 1.3 m ) order to [[render]] its StoneGate network [[guarantee]] products to an unnamed [[Russe]] t",0
49,Net profit [[fell]] by [[almost]] half to +é 5.5 million from +é 9.4 million at the end of 2007,Net profit [[shortening]] by [[nigh]] half to +é 5.5 million from +é 9.4 million at the end of 2007,1
50,Operating [[profit]] [[improved]] by 44.0 % to [[ER]] 4.7 mn from EUR 3.3 [[mn]] in 2004,Operating [[salary]] [[duller]] by 44.0 % to [[EH]] 4.7 mn from EUR 3.3 [[minnesota]] in 2004,0
51,"Viking will pay EUR 130 [[million]] for the new [[ship]] , which will be completed in January 2008","Viking will pay EUR 130 [[trillions]] for the new [[warships]] , which will be completed in January 2008",2
52,Cash flow from operations in January-December 2008 was a [[negative]] EUR 18.1 mn [[compared]] to EUR 39.0 mn in the [[corresponding]] period in 2007,Cash flow from operations in January-December 2008 was a [[harmful]] EUR 18.1 mn [[comparing]] to EUR 39.0 mn in the [[corresponded]] period in 2007,1
53,The extracted filtrates are very [[high]] in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades,The extracted filtrates are very [[superior]] in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades,2
54,Diluted earnings per share ( EPS ) [[stood]] at EUR 0.25 versus EUR 0.42,Diluted earnings per share ( EPS ) [[amounted]] at EUR 0.25 versus EUR 0.42,1
55,"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is [[owned]] by Denmark 's Royal Unibrew , [[raised]] its market [[share]] to 25.18 [[percent]] from 23.74 percent , as [[beer]] sales for the seven months [[jumped]] by 14.5 [[percent]] to 40.5 million liters","Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is [[possession]] by Denmark 's Royal Unibrew , [[posed]] its market [[exchanges]] to 25.18 [[cent]] from 23.74 percent , as [[casket]] sales for the seven months [[slipped]] by 14.5 [[cent]] to 40.5 million liters",0
56,The transaction is planned to be [[financed]] with a EUR40m market-based [[loan]] granted by Standard Chartered Bank Hong Kong,The transaction is planned to be [[aided]] with a EUR40m market-based [[willing]] granted by Standard Chartered Bank Hong Kong,2
57,"Production [[levels]] have been agreed with producers a long time ago , so a [[fall]] in consumption will [[lead]] to [[losses]]","Production [[grades]] have been agreed with producers a long time ago , so a [[chute]] in consumption will [[culminate]] to [[loss]]",1
58,The beers [[differ]] slightly from mainstream [[beers]],The beers [[deviate]] slightly from mainstream [[beer]],2
59,The size of a cider bottle will [[remain]] unchanged,The size of a cider bottle will [[sustain]] unchanged,2
60,Market share [[decreased]] on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 %,Market share [[mitigation]] on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 %,1
61,Operating [[profit]] [[rose]] to [[EUR]] 13.5 mn from EUR 9.7 mn in the [[corresponding]] period in 2006,Operating [[revenues]] [[hikes]] to [[EURO]] 13.5 mn from EUR 9.7 mn in the [[correspond]] period in 2006,0
62,Filmiteollisuus Fine Ab will be [[transferred]] to Talentum Oyj in the [[form]] of a [[subsidiary]],Filmiteollisuus Fine Ab will be [[trespassed]] to Talentum Oyj in the [[forming]] of a [[auxiliaries]],2
63,An EU law on the [[issue]] may be [[introduced]] [[around]] 2010,An EU law on the [[problem]] may be [[lodged]] [[nearly]] 2010,2
64,"[[Following]] the [[registration]] , the number of [[issued]] and [[outstanding]] shares of Basware is 12,890,829","[[Hereafter]] the [[logging]] , the number of [[lawsuits]] and [[unpaid]] shares of Basware is 12,890,829",2
65,"Tieto 's service is [[also]] [[used]] to send , [[process]] and receive [[materials]] related to absentee voting","Tieto 's service is [[incidentally]] [[resorted]] to send , [[formalities]] and receive [[documents]] related to absentee voting",2
66,The [[value]] of the three-year [[contract]] is [[estimated]] at EUR40m,The [[importance]] of the three-year [[agreements]] is [[valuing]] at EUR40m,2
67,"The Hayward , Calif.-[[based]] [[target]] [[designs]] [[active]] , [[casual]] and [[dress]] footwear , as [[well]] as boots and sandals","The Hayward , Calif.-[[groundwork]] [[targeting]] [[destiny]] [[proactive]] , [[fortuitous]] and [[garment]] footwear , as [[good]] as boots and sandals",2
68,Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November [[lowered]] its full-year net sales estimate,Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November [[narrowing]] its full-year net sales estimate,1
69,"For the first nine months of 2010 , Talvivaara 's net loss [[narrowed]] to EUR 8.3 million from EUR 21.9 million for the same period of 2009","For the first nine months of 2010 , Talvivaara 's net loss [[declined]] to EUR 8.3 million from EUR 21.9 million for the same period of 2009",0
70,"If Honkarakenne starts production there , it will [[need]] a partner for sawmill operations","If Honkarakenne starts production there , it will [[requisite]] a partner for sawmill operations",2
71,[[Clothing]] chain Sepp+ñl+ñ 's [[net]] sales [[increased]] by 7.0 % to EUR 30.8 [[mn]],[[Garment]] chain Sepp+ñl+ñ 's [[wisp]] sales [[prolong]] by 7.0 % to EUR 30.8 [[manganese]],0
72,Marathon [[estimates]] the [[value]] of its remaining [[stake]] in Protalix at $ 27 million,Marathon [[evaluating]] the [[importance]] of its remaining [[staking]] in Protalix at $ 27 million,2
73,"industry in Asia +ó Pakistan , Malaysia , Taiwan and Philippines Today , Global Research & Data Services is going to publish [[several]] market analyses about the cement markets in Asia","industry in Asia +ó Pakistan , Malaysia , Taiwan and Philippines Today , Global Research & Data Services is going to publish [[differing]] market analyses about the cement markets in Asia",2
74,"Local government commissioner of +àm+Ñl , Kurt Svensson , says he will contact the management of Finnish company Componenta to find out if there are any [[alternatives]] to the company 's decision to close down its plant in +àm+Ñl","Local government commissioner of +àm+Ñl , Kurt Svensson , says he will contact the management of Finnish company Componenta to find out if there are any [[substitutions]] to the company 's decision to close down its plant in +àm+Ñl",2
75,"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit [[declined]] to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspon","( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit [[tumble]] to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspon",1
76,"HELSINKI AFX - Salcomp , the mobile phone charger manufacturer , [[said]] it has appointed Markku Hangasjarvi as its new CEO , [[following]] the [[resignation]] of Mats Eriksson","HELSINKI AFX - Salcomp , the mobile phone charger manufacturer , [[testified]] it has appointed Markku Hangasjarvi as its new CEO , [[hereafter]] the [[quits]] of Mats Eriksson",2
77,[[He]] is a [[Chartered]] [[Accountant]] in [[British]] [[Columbia]] and Alberta as [[well]] as a Certified [[Public]] [[Accountant]] in Washington [[State]],[[Illinois]] is a [[Accredited]] [[Gl]] in [[England]] [[Colombia]] and Alberta as [[good]] as a Certified [[Population]] [[Bookkeeping]] in Washington [[Sate]],2
78,"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will [[also]] [[include]] [[apartments]]","The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will [[further]] [[including]] [[flats]]",2
79,Finnish Outokumpu Technology has been [[awarded]] several [[new]] grinding technology contracts,Finnish Outokumpu Technology has been [[auctioned]] several [[novo]] grinding technology contracts,0
80,The investments and operational [[changes]] enable [[additional]] optimisation of the working hours and [[thereby]] further cost savings of some 7 % -9 %,The investments and operational [[changed]] enable [[supplementary]] optimisation of the working hours and [[where]] further cost savings of some 7 % -9 %,0
81,"However , [[sales]] volumes in the [[food]] industry are expected to remain at relatively [[good]] [[levels]] in [[Finland]] and in Scandinavia , Atria said","However , [[sell]] volumes in the [[nourishment]] industry are expected to remain at relatively [[bueno]] [[echelon]] in [[Finnish]] and in Scandinavia , Atria said",0
82,Fancy Dans on the move FAB Glasgow [[gift]] and interiors store Fancy Dans is [[moving]],Fancy Dans on the move FAB Glasgow [[skilful]] and interiors store Fancy Dans is [[transference]],2
83,Both the net sales and operating profit were record [[high]] in the company 's history,Both the net sales and operating profit were record [[supremo]] in the company 's history,0
84,` [[Very]] recommendable ' is the Nokian Z G2 according to the ` ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC,` [[Muy]] recommendable ' is the Nokian Z G2 according to the ` ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC,0
85,"The deal [[includes]] the entire personnel of PlanMill Oy , who will transfer to the new company as so-called old employees","The deal [[implicates]] the entire personnel of PlanMill Oy , who will transfer to the new company as so-called old employees",2
86,"Tikkurila Powder Coatings has some 50 employees at its four paint plants , which [[generated]] [[revenues]] of EUR2 .4 m USD3 .3 m in 2010","Tikkurila Powder Coatings has some 50 employees at its four paint plants , which [[caused]] [[incomes]] of EUR2 .4 m USD3 .3 m in 2010",2
87,"Tecnomen , headquartered in Espoo , Finland , [[develops]] [[messaging]] and charging [[solutions]] for telecomms operators and service [[providers]] worldwide","Tecnomen , headquartered in Espoo , Finland , [[lapses]] [[message]] and charging [[solution]] for telecomms operators and service [[deliverer]] worldwide",2
88,Finnish software developer Done Solutions Oyj [[said]] its net [[profit]] [[increased]] to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 [[mln]] ) in 2005,Finnish software developer Done Solutions Oyj [[tell]] its net [[revenues]] [[hiked]] to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 [[trillions]] ) in 2005,0
89,Net [[sales]] [[revenue]] per passenger is expected to [[increase]],Net [[sale]] [[proceeds]] per passenger is expected to [[risen]],0
90,The EUR 0.7 million non-recurring expenses have been [[recorded]] for the third quarter,The EUR 0.7 million non-recurring expenses have been [[records]] for the third quarter,2
91,The [[transactions]] would [[increase]] earnings [[per]] share in the first quarter by some EUR0 .28,The [[trading]] would [[redouble]] earnings [[by]] share in the first quarter by some EUR0 .28,0
92,"S Group 's loyal customer magazine Yhteishyv+[[ñ]] [[came]] [[second]] with 1,629,000 readers and Sanoma Corporation 's daily [[newspaper]] Helsingin Sanomat was [[third]] with 1,097,000 readers","S Group 's loyal customer magazine Yhteishyv+[[ó]] [[became]] [[secondly]] with 1,629,000 readers and Sanoma Corporation 's daily [[diary]] Helsingin Sanomat was [[thirds]] with 1,097,000 readers",2
93,The number of [[customers]] is [[one]] of the most [[important]] parameters in [[determining]] the price of electricity networks,The number of [[clients]] is [[aden]] of the most [[impressive]] parameters in [[determines]] the price of electricity networks,2
94,"[[Operating]] [[profit]] was EUR 9.8 mn , [[compared]] to a loss of EUR 12.7 mn in the corresponding period in 2009","[[Operations]] [[earn]] was EUR 9.8 mn , [[comparisons]] to a loss of EUR 12.7 mn in the corresponding period in 2009",0
95,"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a [[drop]] of 12.6 % from the same period of 2008","In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a [[dipped]] of 12.6 % from the same period of 2008",1
96,"[[The]] fixed-term [[contract]] of Mr. Jarmo Ukonaho , the current General Manager of Incap 's Indian [[operations]] , will [[finish]] by the end of the year","[[Nova]] fixed-term [[agreement]] of Mr. Jarmo Ukonaho , the current General Manager of Incap 's Indian [[operational]] , will [[complete]] by the end of the year",2
97,The [[increase]] range will [[vary]] up to 10 %,The [[increased]] range will [[altering]] up to 10 %,2
98,Altogether 150 subjects with mildly elevated cholesterol levels [[participated]] in the four-month long intervention,Altogether 150 subjects with mildly elevated cholesterol levels [[turnout]] in the four-month long intervention,2
99,[[Diluted]] earnings per share ( EPS ) [[rose]] to EUR 0.52 versus [[EUR]] 0.09,[[Weakened]] earnings per share ( EPS ) [[ascent]] to EUR 0.52 versus [[EUROS]] 0.09,0
100,"Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday [[rejected]] a hostile EUR1 .08 billion $ 1.67 billion offer from buyout shop Nordic Capital , giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA","Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday [[vetoed]] a hostile EUR1 .08 billion $ 1.67 billion offer from buyout shop Nordic Capital , giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA",0
101,"[[For]] the last quarter of 2010 , Componenta 's net [[sales]] [[doubled]] to EUR131m from EUR76m for the same [[period]] a year earlier , while it [[moved]] to a [[zero]] pre-tax [[profit]] from a pre-tax loss of EUR7m","[[Into]] the last quarter of 2010 , Componenta 's net [[soiled]] [[doubly]] to EUR131m from EUR76m for the same [[deadlines]] a year earlier , while it [[travelled]] to a [[nothingness]] pre-tax [[earnings]] from a pre-tax loss of EUR7m",0
102,Operating profit excluding non-recurring items was EUR 7.8 million [[compared]] to EUR 11.2 million,Operating profit excluding non-recurring items was EUR 7.8 million [[likened]] to EUR 11.2 million,1
103,Scanfil has also issued a [[profit]] warning,Scanfil has also issued a [[perks]] warning,1
104,"The [[major]] breweries [[increased]] their domestic [[beer]] [[sales]] by 4.5 [[per]] cent last [[year]] , to 256.88 million litres from 245.92 million litres in 2004","The [[massive]] breweries [[hikes]] their domestic [[beers]] [[sale]] by 4.5 [[by]] cent last [[yr]] , to 256.88 million litres from 245.92 million litres in 2004",0
105,"[[According]] to Viking Line 's Managing [[Director]] , Nils-Erik Eklund , the company 's [[Board]] of Directors is very [[satisfied]] with Viking Line 's performance","[[Depending]] to Viking Line 's Managing [[Headmistress]] , Nils-Erik Eklund , the company 's [[Commission]] of Directors is very [[satisfy]] with Viking Line 's performance",0
106,That would be an [[increase]] from estimated sales of 117 million last year,That would be an [[soar]] from estimated sales of 117 million last year,0
107,Sanoma Magazines Finland 's net sales [[grew]] to EUR 140.1 mn from EUR 131.8 [[mn]],Sanoma Magazines Finland 's net sales [[rebounds]] to EUR 140.1 mn from EUR 131.8 [[minnesota]],0
108,"U.S.-based T Corp. is in talks with Scandinavian telecoms company TeliaSonera to [[sell]] its stake in Uzbek cellular operator Coscom , an executive at Coscom told Interfax","U.S.-based T Corp. is in talks with Scandinavian telecoms company TeliaSonera to [[resell]] its stake in Uzbek cellular operator Coscom , an executive at Coscom told Interfax",2
109,"LONDON AFX - Shares in Rautaruukki Corp have been [[upgraded]] to ` hold ' from ` [[sell]] ' by ABN Amro , with the [[price]] target [[raised]] to 25.75 [[eur]] from 14.5 , said [[dealers]]","LONDON AFX - Shares in Rautaruukki Corp have been [[update]] to ` hold ' from ` [[sale]] ' by ABN Amro , with the [[fees]] target [[posed]] to 25.75 [[euros]] from 14.5 , said [[retailers]]",0
110,"The final [[price]] will be [[specified]] by 14 [[May]] 2010 , the [[acquiring]] company [[said]]","The final [[reward]] will be [[establishes]] by 14 [[Conceivably]] 2010 , the [[acquires]] company [[emphasise]]",2
