	text	label
1578	Of these shares 14,747,084 are held by the Company and the number of outstanding shares and voting rights attached to the shares amounts thus to 161,256,847 	neutral
741	Virtue to Scandinavian Line 's Management Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Iine 's yields 	positive
203	Thus the methodology will cut working expense , and will fasten the regimen and building processes 	positive
1462	Nordea sees a return to positive growth for the Baltic countries in 2011 	positive
2574	- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million 	neutral
1228	In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million 	positive
2131	` Sanoma is a buyer not a target , ' he said 	neutral
2272	It 's not 	neutral
2050	The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 	neutral
3032	Okmetic expects its net sales for the first half of 2009 to be less than in 2008 	negative
1208	Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago 	positive
2153	Additionally , the company will use the solutions to automate the preparation of financial statements according to IFRS standard 	neutral
474	Onto 2008 , the deal is perhaps to bring economy of EUR 20mn-25mn 	positive
2745	The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing 	neutral
2567	Why not give your bedroom a cool makeover for summer 	neutral
1843	Re-use back into PET bottles has also steadily increased and the rate of use in strapping tape has picked up again after a dip in 2005 , Petcore said previously 	positive
2159	After the transaction , Tikkurila has no powder coatings related operations 	neutral
1047	Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 	positive
2866	Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 	negative
711	Its product portfolios implicates harvesters , forwarders , harvester heads , as well as cranes and bearers 	neutral
1762	Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , has a plant near Warsaw , in Poland , that makes flexible packaging 	neutral
66	The whole floor area of the vegetable enlarge is 29,000 square metres 	neutral
2366	Technopolis has approximately 130 customer companies in Jyvaskyla 	neutral
2268	Investments in product development stood at 6.0 mln euro ( $ 8.8 mln ) 	neutral
447	Among the methodology the smelt spouts 2 are separated from the work regions 6 by a armor wall 8 , 10 holding movable in relation to the smelt spouts 	neutral
1392	Shareholder 's full name and ID code : - Petri Ailus , born 15.9.1966 For further information , please contact Isto Hantila , CEO , tel. +358 9 591 8342 	neutral
1516	The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam 	neutral
2569	With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline 	neutral
1139	In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth 	positive
1178	Passenger volumes rose by 8.4 % in the accounting period 	positive
1107	Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 	positive
1938	At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions 	neutral
262	The winnings per exchange for the quarter arrival in at 0.25 euro , up from the 0.20 eur of the same quarter a yr previously 	positive
907	Throughout December alone , the market dropped by 10.2 percent year-on-year to 19.28 million gallons 	negative
1625	The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. 	neutral
1750	London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened 	positive
2711	Russia 's Video International Group holds a controlling stake in Russian Media Ventures 	neutral
256	- Revenue before prices was EUR 105.9 82.7 million 	neutral
924	Aux funded speech release will be available after publishing on the Company 's internet page at www.cargotec.com 	neutral
613	Seven-month sales of Ragutis , which is verifying by the Finnish brewery Olvi , descending by 11.2 percent , to 15.41 millionth quart , and the companies holds 9.89 percent of the market 	negative
2515	The talks involved the Food and Ingredients Divisions , as well as group service functions , the company said 	neutral
3102	In Finland , the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 	negative
2000	no compensation for its news , opinions or distributions 	neutral
2015	Registration is required 	neutral
2190	Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process 	neutral
2984	The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website 	neutral
521	Key shareholders of Finnish IT services supplier TietoEnator Oyj on Mons refused a enmity EUR1 .08 zillion $ 1.67 billions offer from redemption shop Nordic Capital , giving new life to a possible counter tenders from Blackstone Group LP and Norwegian communications Telenor ASA 	positive
2223	Financial terms were n't disclosed 	neutral
780	As of July 2 , 2007 , the market cap segments will be updated according to the average price in May 2007 	neutral
3223	UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki 	negative
1062	Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces 	positive
1713	The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m 	neutral
2455	The major part of the deliveries include different AC and CXE amplifier solutions and products by Belgian DINH Telecom , a broadband solutions company acquired by Teleste in the spring of 2007 	neutral
902	down to EUR5 .9 m H1 '09 3 Augusto 2009 - Finnish medias groups Ilkka-Yhtyma Oyj ( HEL : ILK2S ) stated nowadays its net profit tumbles 45 % on the year to EUR5 .9 m in the premiere average of 2009 	negative
1513	The guidance has been set at 90 basis points over mid-swaps , the report said 	neutral
2579	The company continued the development of a fully human antibody in its VAP-1 antibody program 	neutral
945	Crucial shareholders of Finnish IT services provider TietoEnator Oyj on Friday denial a inhospitable EUR1 .08 millionth $ 1.67 million offer from buyout shop Nordic Capital , giving new life to a possible counter furnished from Blackstone Group LP and Norwegian communication Telenor SAA 	positive
178	Any investors or investment activity to which this communicates comprises is only available to pertinent persons and will be initiation in only with relevant persons 	neutral
263	YIT lodged counter claims against Neste Oil totaling some EUR25m , basically based on jobs carried out under the contract and extras indictments wreaked due to prolongation of the project 	negative
1961	Ethanol would be made from barley , and production could start in 2008 	neutral
1873	Mformation and Nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management 	positive
139	Net takings from subsistence insurance poses to EUR 16.5 mn from EUR 14.0 minnesota , and net profits from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 	positive
294	Nova bridge will be 1.2 kms long and is located between Anasmotet by the way E20 and the nueva traffic juncture in Marieholm by the trail E45 	neutral
1112	EPS from continuing operations came in at 0.30 eur , up from 0.17 	positive
2100	The parties have agreed not to disclose the price of the deal , the group said in a press release 	neutral
2460	The medium-term operative targets of the company remain unchanged 	neutral
3254	Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales 	negative
2623	Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems 	neutral
1913	128,538 shares can still be subscribed for with Series E share options , max 	neutral
1091	Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 	positive
3155	Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005 	negative
2107	The report examines the medical equipment business structure and operations , history and products , and provides an analysis of its key medical equipment revenue lines 	neutral
537	In the first quarter of 2008 , Sacanfil 's tenderloin sales reached EUR 50.0 manganese and its operandi profits EUR 4.7 mn 	neutral
1391	The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % 	positive
1329	26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier 	positive
1934	As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy 	neutral
1582	Pertti Ervi is independent from the Company and its major shareholders 	neutral
2661	It is being developed by Symbian , the software licensing consortium led by Nokia 	neutral
1511	The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws 	neutral
636	Finnish Bank of +àland reports its functioning perks risen to EUR 21.3 minutes in the seconds quarter of 2009 from EUR 6.1 manganese in the corresponding timeframe in 2008 	positive
2603	Based on the 2005 calendar year the combined company had EUR15 .8 bn in pro forma annual revenues and is expected to start operations with 60,000 employees 	neutral
1801	Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete 	positive
414	The maximum grade of the veneer yield is calculated , based on the dimensions and grades of the veneer products , as well as by iterating the places of the peeling axes and simulating the peeling process 	neutral
2310	No financial information was provided 	neutral
1231	Marimekko Group 's full-year net sales are estimated to increase by about 10 % 	positive
1265	Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.39	neutral
633	The bond , with a maturity of five years , is part of the bank 's domestic bond program 	neutral
632	( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 	positive
1061	Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier 	positive
495	The initially groups of clients to be trained will be paint-shop owners and their assistants 	neutral
3143	In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 	negative
1186	Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 	positive
353	Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 	positive
1260	The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 	positive
1345	Unit costs for flight operations fell by 6.4 percent 	positive
3045	`` The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said 	negative
2616	CS Cabot 's main consumers on the Czech and Slovak market are tires producers Barum Continental and Matador Continental 	neutral
1238	Operating profit of the Asian plants grew markedly 	positive
1419	Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden 	positive
2794	The move will be carried out by transferring HKScan 's production-related property , plant , equipment , as well as its holdings in subsidiaries and associate companies in the country to HKScan Finland 	neutral
2479	The plant is expected to start production in the first half of 2007 	neutral
1972	Founded in 1923 , Finnair is one of the world 's oldest airlines and flies to 60 destinations with a fleet of 63 aircraft , employing 9,500 people 	neutral
2168	Apartments of YIT Home may be purchased in 5 regions of Russia , where YIT subsidiaries carry out their activities : Moscow and Moscow region , St. Petersburg , Ekaterinburg , Kazan and Rostov-on-Don 	neutral
677	The market exchanging of Vw passenger cars in Finland was 10.1 percent , Audi had a contracts share of 3.1 percent and Seating 's exchanging was 0.9 proportions 	neutral
2203	CS Cabot exports 55 % of its production mainly to Goodyear , Bridgestone and Michelin plants in Poland , as well as to Germany 's Michelin or Italy 's Pirelli through the company 's logistics center in Paris , Stefan said 	neutral
3118	Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 	negative
1137	In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 	positive
2979	The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day 	neutral
529	Customers include hotels and diet as well as retailer and some sellers 	neutral
3109	Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 	negative
439	561,470 new exchanges under 2003 option rights plan Packaging enterprise Huhtamaki Oyj reported on Friday that a generals of 561,470 novo shares of the company have been dispensed based on sharing subscriptions under its 2003 option right plan 	neutral
1518	The issuer is solely responsible for the content of this announcement 	neutral
374	Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Dutch and at Orhangazi in Turkey , and these had a blending output of circa 100,000 ton and netting sales of EUROS 135 billions in 2007 	neutral
2354	SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector 	neutral
2444	The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally 	neutral
2132	`` After the transaction , Tikkurila has no powder coatings-related operations , '' the company said 	neutral
2173	Aspo 's Group structure and business operations are continually developed without any predefined schedules 	neutral
398	Local governments commissioner of +àm+Ñl , Kurt Svensson , says he will linking the administration of Finnish company Componenta to find out if there are any alternative to the ventures 's decide to clasps down its herbal in +àm+Ñl 	neutral
1933	Also the development of online businesses will continue 	neutral
1947	COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limite	neutral
3179	The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008 	negative
2149	According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn 	neutral
486	According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for growth abroad 	neutral
3247	Besides , as there is no depositor preference in Finland , senior debt and deposits rank on a par , which is also taken into consideration , the agency added 	neutral
3142	Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 	negative
1006	Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 	positive
2023	Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 	neutral
2827	The total value of the contract is some EUR 8 million 	neutral
1746	Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland 	positive
3030	Net sales have been eaten by the weak US dollar 	negative
3017	The move was triggered by weak demand for forestry equipment and the uncertain market situation 	negative
1197	The company expects its net sales in 2008 to increase 5-10 % from 2007 	positive
100	Registration is requisite 	neutral
421	Traded particulars and analytics are derived from elemental and secondary research 	neutral
1603	The business has sales of about ( Euro ) 35 million ( $ 44million ) , and has been responsible for sales and marketing of Lanxess 's paper chemicals business , which Kemira bought for ( Euro ) 88 million early this year ( CW , Jan. 11 , p. 22 ) 	neutral
1814	Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives 	positive
2714	Stora Enso will receive a 19.9 pct equity interest in the combined company 	neutral
1973	Glaston 's share GLA1V is listed on the NASDAQ OMX Helsinki , Mid Cap List 	neutral
533	ADP News - February 13 , 2009 - Finnish sellers Kesko Oyj HEL : KESBV outlines today its total sales , excludes valued adding tax VAT , stood at EUR 661.3 millionth USD 853.1 m in Jan 2009 , down 15.2 % year-on-ye	negative
751	Virtue to the undertakings , a decisions in the issue will be accomplished in the sommer of 2010 , at the earliest , and in the summer of 2011 , at the latest 	neutral
2871	Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 	negative
1339	Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 	positive
331	Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Danish 's Regal Unibrew , surged its commercialized exchanged to 25.18 percent from 23.74 percentage , as beer sales for the seven month vaulted by 14.5 percent to 40.5 million quart 	positive
464	Nova Baltimore Cops and Burns Pension , which has about $ 1.5 billions , lost about $ 3.5 million in Madoff Ponzi schemes 	negative
847	Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Packed ) , which is belonged by Denmark 's Buildings Unibrew , gaining its traded share to 25.18 percent from 23.74 percent , as beer sales for the seven mois leapt by 14.5 percent to 40.5 million liters 	positive
1380	Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 	positive
1524	The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million 	neutral
2144	A merger between UPM and Finnish-Swedish Stora Enso is not likely either 	neutral
1770	Patrick Jeambar will also continue being responsible for Innovation and Health , safety and environment HSEA functions of Ahlstrom Corporation 	neutral
49	Finnish Bank of +àland relations its operational benefit rebounds to EUR 21.3 mn in the secs quarter of 2009 from EUR 6.1 minnesota in the corresponding duration in 2008 	positive
396	The plant is awaiting to enter trading operation by mid-2009 	neutral
2241	Her work at NetApp included strategically repositioning the brand in the category and a major global relaunch 	neutral
2517	The total number of voting rights is 74,612,523 	neutral
877	The pulpit is based constructing on Intel s second-generation MEDIUM platform , called Moorestown 	neutral
762	The Board established a Payrolls Committee with following members : - Sari Baldauf Chairs - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to designated a Appointments Board at a later stage 	neutral
3009	This action follows personnel negotiations concerning Elcoteq SE , Finnish Branch , Elcoteq Finland Oy and Elcoteq Design Center Oy 	neutral
460	Following the move , Stora Enso holding in NewPage will retaining unchanged 	neutral
3123	Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 	negative
1147	( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 	positive
1095	Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 	positive
806	The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations 	negative
235	In 2008 , the solve is likely to bring savings of EUR 20mn-25mn 	positive
826	Finnish KCI Konecranes has been conferred an order for four thrilling minerals ladle cranes by Indian steel generators Bhushan Steel & Strips to be supplied in 2007 	positive
1637	Uponor maintains its full-year guidance for 2010 	neutral
309	Wisp sells of Kyro 's leading ventures area , Glaston Technologies , a manufacturer of glass dealing machines , recede to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 	negative
2413	The contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles 	neutral
2789	The Group 's turnover in 2006 was EUR 39.2 million , and operating profit was EUR 3.9 million 	neutral
1119	Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 	positive
556	The Tecnomen Convergent Charging settled includes functionality for prepaid and post-paid invoice , expense and score of voice calls , video guests , raw data traffic and any type of pleased services in both mobil and fixed networks 	neutral
2063	The contract includes heating plant equipment and associated installation work 	neutral
2187	CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area 	neutral
153	A paper mill in the central Maine town of Madison soon will have a new owner 	neutral
1589	Sanoma also has an Executive Committee , in accordance with the Company 's Articles of Association , that prepares proposals for matters to be decided or noted by the Board of Directors 	neutral
231	Metsaliitto , although , dwindled its apprehended loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 billions euro $ 83.7 thousandth a year beforehand 	positive
1919	About 72 % of Evraz Group shares are owned by Lanebrook , whose beneficiaries , on the one hand , are Millhouse , the holding company for the assets of billionaire Roman Abramovich and his business partners 50 % ; and Evraz executives Alexander Abramov and Alexander Frolov 50 % , on the other 	neutral
456	Du constructs will house , for example , Respecta Oy 's Jyvaskyla premises , as bah as other undertakings to be announced afterward , says Samuel Koivisto , Headmaster of Technopolis operations in Jyvaskyla 	neutral
1160	Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 	positive
