id,sentence,snippets,target,sentiment_score,aspects
25,That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,['200 day resistance still intact'],SDS,-0.39,['Stock/Technical Analysis']
26,"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=","['broke DT line 1st, MACD cross']",IYT,0.594,['Stock/Technical Analysis']
27,$DUG weekly stochastics finally starting to turn up after long consolidation. Buying here.,['weekly stochastics finally starting to turn up'],DUG,0.702,['Stock/Technical Analysis/Stochastic']
28,$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,['Next week we will pop higher'],SPY,0.412,['Stock/Price Action/Bullish']
29,longed $AMZN 300 @ 189.82,['longed'],AMZN,0.65,['Stock/Price Action/Bullish/Bull Position']
30,"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg","['is down, but weekly $34 calls']",SLW,0.145,['Stock/Options']
31,"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill","['Receives 7-Year, $50M Contract']",HSC,0.497,['Corporate/Sales/Deal']
32,"Reuters: Green Mountain revenue misses, shares plunge http://stks.co/13mW > $GMCR prints 43.80, market in a foul mood, bad day to disappoint","['Green Mountain revenue misses, shares plunge']",GMCR,-0.668,['Corporate/Financial/Financial Results']
33,"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope","[""watch 50ma's slope""]",XLF,-0.299,['Stock/Technical Analysis']
34,$vxx adding to position here !,['adding to position here'],VXX,0.685,['Stock/Price Action/Bullish/Bull Position']
35,$GPS Gap September Comparable Store Sales -4%,['September Comparable Store Sales -4%'],GPS,-0.441,['Corporate/Sales']
36,Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,['Double bottom with handle buy point'],WMT,0.654,['Stock/Technical Analysis']
37,$MA http://stks.co/1CYN continues to consolidate / base here,['continues to consolidate / base here'],MA,0.148,['Stock/Price Action/Bullish/Bullish Behavior']
38,Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,['Sets Up for Breakout'],QCOM,0.396,['Stock/Price Action/Bullish']
39,$isrg trading at all-time high after strong earnings report with 4 days of short interest.,['trading at all-time high'],ISRG,0.729,['Stock/Price Action/Current Price/52-Week High']
40,$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,['Reported very good earnings.'],UTSI,0.63,['Corporate/Financial/Financial Results/Earnings']
41,Here come the shorts marchin' in.  $GMCR.  Lovin' it!,['Here come the shorts'],GMCR,-0.522,['Stock/Price Action/Volatility/Short Selling']
42,$aapl news is becoming very bullish again http://stks.co/tMU,['news is becoming very bullish again'],AAPL,0.526,['Stock/Price Action/Bullish']
43,stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL,"[""wouldn't be surprised if we took out 423""]",AAPL,0.142,['Stock/Price Action']
44,"$DPZ broke out now of his bull flag channel and make new highs, but volume is very poor",['broke out now of his bull flag channel and make new highs'],DPZ,0.369,['Stock/Price Action/Bullish/Bullish Behavior']
45,$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,['Nice little cup-and-handle shaping up on the 15-minute'],SPY,0.341,['Stock/Technical Analysis']
46,Short more $FAZ for all who don't know that means markets will tank now :-p,"[""for all who don't know that means markets will tank now""]",FAZ,-0.605,['Stock/Price Action/Bearish']
47,RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,['Markets Are Still Acting Weak'],XLF,-0.443,['Stock/Price Action']
48,"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.","['reiterated ""Outperform"" rating']",BRCM,0.521,['Stock/Coverage/AnalystRatings/Upgrade']
49,$ELN longs...congrats...another HOD,['longs...congrats...another HOD'],ELN,0.445,['Stock/Price Action/Bullish/Bullish Behavior']
50,"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell",['red before the bell'],WYNN,-0.424,['Stock/Price Action/Bearish/Bearish Behavior']
51,$TSPT  long 8.00,['long play'],TSPT,0.499,['Stock/Price Action/Bullish/Bull Position']
52,$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,['Long setup. Watch for continuation and volume expansion here.'],SKH,0.622,['Stock/Price Action/Bullish/Bullish Behavior']
53,Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,['Losing 10 week here'],LULU,0.006,['Stock/Price Action/Bearish']
54,"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork",['the correleation between the dollar index and $SPY is simply amazing'],SPY,-0.312,['Stock/Price Action']
55,$FIO won't stay down,"[""won't stay down""]",FIO,0.376,['Stock/Price Action/Current Price/Oversold']
56,$AAPL http://stks.co/1LDx Clearing this descending trend line / buy area now,['Clearing this descending trend line'],AAPL,0.529,['Stock/Technical Analysis']
57,$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,['Go Long until exp imo'],ROST,0.414,['Stock/Price Action/Bullish']
58,i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,"[""any rally beyond today's levels or into this range leads to meltdown.""]",DIA,-0.172,['Stock/Price Action/Bearish']
59,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.","['Numbers looked good, not great, but good']",LULU,0.011,['Stock/Fundamentals']
60,"$ZSL looking very weak, could be a good short setup.","['looking very weak, could be a good short setup.']",ZSL,-0.614,['Stock/Price Action/Bearish/Bearish Behavior']
61,"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",['darn those shorts!'],FMCN,-0.483,['Stock/Price Action/Volatility/Short Selling']
62,$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,['Bottom Pickers continue to get destroyed'],MCP,-0.607,['Stock/Price Action/Bearish/Bearish Behavior']
63,"ACE Limited, which has a 17 year dividend growth streak, plans a 33% dividend hike: http://stks.co/1BUE $ACE",['plans a 33% dividend hike'],ACE,0.455,['Corporate/Dividend Policy']
64,"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",['MACD crossover a half-a-hair away on the weekly'],AAPL,0.498,['Stock/Technical Analysis/MACD']
65,$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,['broken out of a major horizontal resistance'],CIEN,0.345,['Stock/Technical Analysis']
66,like $T for a breakout long as well. getting through the 100 and 200 MA could see it run.,['getting through the 100 and 200 MA could see it run.'],T,0.655,['Stock/Price Action/Bullish']
67,My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer,"[""I'm still skeptical. Will take profits""]",DWA,-0.088,['Stock/Price Action/Bearish']
68,$IBM staying strong,['staying strong'],IBM,0.532,['Stock/Price Action/Bullish']
69,"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now","['even though the ""report"" is untrue and has been proven unture, the damage is done']",SINA,-0.55,['Corporate/Reputation']
70,"$amzn 4 period RSI is down at 20, just read Connors book on trading strategies",['4 period RSI is down at 20'],AMZN,0.221,['Stock/Technical Analysis']
71,$SIGA Bid for Reargument Denied by Judge,['Bid for Reargument Denied by Judge'],SIGA,-0.354,['Corporate/Legal']
72,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...","['Crazy looking chart, but nearing breakout resistance line']",YHOO,0.194,['Stock/Technical Analysis/Breakout']
73,$CERN - consolidating above 50 & 200 MA - nice long entry here w stop below 10 MA - targeting $70 area,['consolidating above 50 & 200 MA'],CERN,0.443,['Stock/Price Action/Bullish/Bullish Behavior']
74,$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,"[""We're holding above Wednesday and Thursday closes. I'm leaning bullish""]",SPY,0.316,['Stock/Price Action/Bullish']
75,$RDC Rowan Expands Share Repurchase Program to $150 million,['Rowan Expands Share Repurchase Program'],RDC,0.285,['Stock/Fundamentals/Share Buyback']
76,$NVDA sideways,['sideways'],NVDA,0.0,['Stock/Price Action']
77,$HITK  Resuming advance into new historical highs.,['Resuming advance into new historical highs.'],HITK,0.68,['Stock/Price Action/Current Price/52-Week High']
78,Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,['Held its recent double bottom buy point'],WMT,0.198,['Stock/Technical Analysis']
79,$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,['breakout very likely'],GOOG,0.518,['Stock/Technical Analysis/Breakout']
80,RT @Street_Insider The Steve Jobs Effect? Apple $AAPL First Day iPhone 4S Sales Were Off the Charts http://stks.co/YYe,['Sales Were Off the Charts'],AAPL,0.539,['Corporate/Sales']
81,"that was quick, out $FIO 21.35, market tanking, scaling down longs now",['market tanking'],FIO,-0.497,['Market/Market']
82,$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,['great short setting up'],SPY,-0.406,['Stock/Price Action']
83,$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,['Increases Annual Dividend Target'],LNT,0.324,['Corporate/Dividend Policy']
84,"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",['still has a rising RSI & MACD'],UUP,-0.361,['Stock/Technical Analysis']
85,$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,"[""crunching #'s""]",IDCC,0.477,['Corporate/Financial/Financial Results/Earnings']
86,$mako hanging in well today. still in a basing pattern. have eyes on it,['hanging in well today. still in a basing pattern'],MAKO,0.195,['Stock/Price Action/Bullish']
87,"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",['think shorting here into close might be play'],SPY,-0.469,['Stock/Price Action/Volatility/Short Selling']
88,$TZA is a rocket ship!!!,['is a rocket ship!!!'],TZA,0.807,['Stock/Price Action/Bullish/Bullish Behavior']
89,"Lots of metal stocks look like a 5-10% run awaits. Long $SSRI,$PAAS and $NEM but most high quality names should go if metal prices cooperate",['stocks look like a 5-10% run awaits. Long'],SSRI,0.394,['Stock/Price Action/Bullish']
90,$vxx starting to creep up while $spy sits near hod ...,['sits near hod'],SPY,0.141,['Stock/Price Action/Bullish/Bullish Behavior']
91,$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,"[""I'm sure those short are holding their breath""]",AAPL,0.411,['Stock/Price Action/Volatility/Short Selling']
92,VIVUS $VVUS bear raid in effect. Stock down 12%,['bear raid in effect. Stock down 12%'],VVUS,-0.57,['Stock/Price Action/Volatility/Short Selling']
93,looks like a big feb 18-22 $put spread on $cree.  Last quarter 0% YoY rev growth trading @ 24x earnings.  I may try a short.,['I may try a short.'],CREE,-0.352,['Stock/Price Action/Bearish/Bear Position']
94,$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,['wayyy overvalued right now IMO'],YELP,-0.451,['Stock/Price Action/Current Price/Overbought']
95,$renn topping tail 5 min. chart at 7.31 short from here.,['short from here.'],RENN,-0.64,['Stock/Price Action/Bearish']
96,$SPY weak close,['weak close'],SPY,-0.297,['Stock/Price Action/Bearish']
97,$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,['Looking for a test at 9.25 resistance point'],ZNGA,0.248,['Stock/Technical Analysis']
98,$EFUT hod  posted buy pm at $4.40,['hod poste'],EFUT,0.354,['Stock/Price Action/Bullish/Bullish Behavior']
99,$AAPL short some 592.49,['short some'],AAPL,-0.464,['Stock/Price Action/Bearish/Bear Position']
100,"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.","['Sales weak, margins down, debt still way up.']",SWY,-0.515,['Corporate/Financial/Accounting']
101,"$AAPL Taking out the shorts here, a punishing reminder not to spear the  strongest in the herd.",['Taking out the shorts here'],AAPL,0.144,['Stock/Price Action/Bullish/Bullish Behavior']
102,Think $FMS will challendge 200-EMA in not distant future.   Look at yesterday's volume,['will challendge 200-EMA in not distant future'],FMS,0.221,['Stock/Technical Analysis']
103,"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!","[""Apple mastered EVERYONE'S supply chain!""]",AAPL,0.461,['Corporate/Strategy']
104,$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,['analyst upgrades last week'],PRLB,0.394,['Stock/Coverage/AnalystRatings/Upgrade']
105,$AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.,"[""It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.""]",AMRN,0.469,['Stock/Price Action/Bullish/Bullish Behavior']
106,$AXP Looking for continuation with volume increase http://stks.co/c8sR,['Looking for continuation with volume increase'],AXP,0.308,['Stock/Price Action']
107,MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.,['double dip dividend play'],MSFT,0.444,['Corporate/Dividend Policy']
108,Surprising to see $JWN and $SKS sales numbers still holding up so well. I guess the high end might not be a concern after all.,['sales numbers still holding up so well'],SKS,0.315,['Corporate/Sales']
109,"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",['steep global sales increase'],CAT,0.586,['Corporate/Sales']
110,$SPY Long 1/2 position 137.89,['Long 1/2 position'],SPY,0.428,['Stock/Price Action/Bullish/Bull Position']
111,$AAPL price momentum weakening going into the close.,['price momentum weakening going into the close.'],AAPL,-0.22,['Stock/Price Action']
112,RT @ACInvestorBlog $AAPL still on track for $500,['still on track for $500'],AAPL,0.166,['Stock/Price Action/Future Price/Direction']
113,$SPY $MITK fast 56pc dive http://stks.co/3ffN $$,['fast 56pc div'],SPY,-0.26,['Stock/Price Action/Bearish']
114,$BAC in for swing trade  looks like want go up,['in for swing trade looks like want go up'],BAC,0.433,['Stock/Price Action/Bullish/Bull Position']
115,$PCLN runs into the 50sma on the acquisition news,['acquisition news'],PCLN,0.486,['Corporate/M&A/M&A']
116,$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),['Should have the channel cleared soon and on solid footing'],AAPL,-0.175,['Stock/Technical Analysis']
117,$WYNN big bounce,['big bounce'],WYNN,0.61,['Stock/Price Action/Bullish']
118,$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,['Resistance 10 points north at 200d and downward trendline'],GLD,-0.143,['Stock/Technical Analysis']
119,$AAPL wants lower. up waves getting smaller on the 2 min,['wants lower. up waves getting smaller'],AAPL,-0.37,['Stock/Price Action/Bearish/Bearish Behavior']
120,Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,['Short interest increases yet again'],SPY,-0.342,['Stock/Fundamentals/Short Interest Rate']
121,"$QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of",['this erases all of todays gains'],QCOR,-0.169,['Stock/Price Action/Bearish']
122,$WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq,['MACD CROSSOVER with RSI and STO going up'],WMT,0.574,['Stock/Technical Analysis']
123,Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,['take-over interest'],RA,0.396,['Corporate/M&A/M&A']
124,$AAPL 620 resistance area,['620 resistance area'],AAPL,-0.025,['Stock/Technical Analysis']
125,what is up with $HK..... from Jan to now it's been a sinking ship...,"[""it's been a sinking ship""]",HK,-0.573,['Stock/Price Action/Bearish']
126,"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",['was right to reject the offer'],WGO,0.076,['Corporate/M&A']
127,I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endâ€”That's another hun from here.Long LEAPS =^.^=,['Long LEAPS'],AAPL,0.579,['Stock/Options']
128,"$AAPL bounce right now has no vol, more vol when it slid",['bounce right now has no vol'],AAPL,0.19,['Stock/Price Action']
129,"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look","['now indicators turning up (RSI, MACD, SMI)']",LULU,0.351,['Stock/Technical Analysis']
130,$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,['Looking for bottom. Rsi under 30'],NIHD,-0.202,['Stock/Technical Analysis']
131,$AAPL long 630.91,['long'],AAPL,0.512,['Stock/Price Action/Bullish/Bull Position']
132,"It's a bad idea to make 5 min predictions based on faith: RT @dandyduct $AAPL Sell signal hit at 584, it will go down for the next 5 min","['Sell signal hit at 584, it will go down for the next 5 min']",AAPL,-0.445,['Stock/Signal/Sell Signal']
133,$KCG bot at 2.24,['bot at 2.24'],KCG,0.384,['Stock/Price Action/Bullish/Bull Position']
134,$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,['lets see one more dip to 2.0x'],HZNP,-0.274,['Stock/Price Action/Bearish/Bearish Behavior']
135,pretty steady accumulation off support today.  Purdy. $AGU,['pretty steady accumulation off support today'],AGU,0.464,['Stock/Price Action']
136,Out of shorts $ALTR at 38.85 with loss,['Out of shorts'],ALTR,0.372,['Stock/Price Action/Bullish/Bullish Behavior']
137,"$GMCR with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday",['horrible action since it hit 70 yesterday'],GMCR,-0.51,['Stock/Price Action/Bearish']
138,$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,['had a nice breakout of the recent consolidation'],EBAY,0.452,['Stock/Technical Analysis/Breakout']
139,"$SDS +1.46% 15.32, picking up some speed. May 16 calls now +35% .19: http://stks.co/3eiK, Next week $16 calls .11c: http://stks.co/3eiL",['picking up some speed. May 16 calls now +35%H'],SDS,0.41,['Stock/Price Action/Bullish/Bullish Behavior']
140,"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV","['Gundlach Slams iPad mini, Sees Downside']",AAPL,-0.325,['Stock/Coverage/AnalystRatings/Downgrade']
141,$AAPL AUG 645 calls +550% .67c: http://stks.co/i9T3,['AUG 645 calls +550%'],AAPL,0.553,['Stock/Options/Unusual Call Activity']
142,"Went long on this $COG, will see 70's again me thinks",['Went long on this'],COG,0.574,['Stock/Price Action/Bullish/Bull Position']
143,$AAPL nibbling on a small long via 525.. buying off 13min charts..,['nibbling on a small long'],AAPL,0.509,['Stock/Price Action/Bullish']
144,Added. Cost now at 1.54. Bounce off of Put OI & S1 pivot. @moteltan BTO $AAPL Apr 27 2012 605.0 Calls @ 1.66 for ride to 609 ish.,['Bounce off of Put OI & S1 pivot'],AAPL,0.47,['Stock/Price Action/Bullish']
145,"$WAC trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $SPY","['trade continuing very nicely from yesterday, almost up $3 from yesterday entry']",WAC,0.495,['Stock/Price Action/Bullish/Bullish Behavior']
146,Equity indexes working on a positive engulfing for March. $SML $RUT $IWC $SMH $SOX  Small-caps / semis with a fakeout before the b/out.,['Small-caps / semis with a fakeout before the b/out.'],SOX,0.308,['Stock/Price Action/Bullish']
147,$BONE Earnings Stocks Poised to Pop http://stks.co/2zWE,['Poised to Pop'],BONE,0.432,['Stock/Price Action/Bullish']
148,$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,['Amazing run since middle of March'],SONC,0.492,['Stock/Price Action/Bullish']
149,$LEE http://stks.co/24kM LEE ready to exit bankruptcy. Strong volume today.,['ready to exit bankruptcy'],LEE,0.298,['Corporate/Financial/Bankruptcy/Exisiting bankruptcy']
150,$RCON some upside today. This thing is severe low float. If there is catalyst for this guy. It can run.,['some upside today'],RCON,0.254,['Stock/Price Action/Bullish']
151,$KITD Looking for a oversold bounce.,['Looking for a oversold bounce.'],KITD,0.436,['Stock/Price Action/Current Price/Oversold']
152,$PPG Descending triangle but I am liking it for an upside break http://stks.co/o9nY,['Descending triangle'],PPG,0.201,['Stock/Technical Analysis']
153,$NSM ascending base breakout starting to gain traction; strong stock http://stks.co/gBSH,['ascending base breakout starting to gain traction'],NSM,0.605,['Stock/Technical Analysis']
154,$aapl.  Test the high today and probably go beyond after hours...,['Test the high today'],AAPL,0.505,['Stock/Technical Analysis']
155,Long $PCLN,['Long'],PCLN,0.663,['Stock/Price Action/Bullish/Bull Position']
156,"$HLF shorts made a killing last couple days, might make more if cover and buy back?",['shorts made a killing last couple days'],HLF,-0.334,['Stock/Price Action/Volatility/Short Selling']
157,Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,['chart finally leads to a fall in price'],MCD,-0.474,['Stock/Technical Analysis']
158,$MFLX up  pre mkt. Looks like GAP has been filled....lookin 4 short opt here,['up pre mkt.'],MFLX,-0.412,['Stock/Price Action/Bullish/Bullish Behavior']
159,RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,"[""Don't think buyout rumor strong enough""]",ARNA,-0.02,['Corporate/Rumors']
160,$AAPL Right back in ... - Buy the dips brought to you by CNBC. LOL,['Right back in ... - Buy the dips'],AAPL,0.346,['Stock/Price Action/Bullish/Bull Position']
161,$DMND green and moving,['green and moving'],DMND,0.477,['Stock/Price Action/Bullish']
162,$MTD (Mettler-Toledo) ready for a breakout,['ready for a breakout'],MTD,0.428,['Stock/Technical Analysis/Breakout']
163,$ACAD under $2 today?,['under $2 today?'],ACAD,-0.164,['Stock/Price Action/Bearish/Bearish Behavior']
164,$amzn breaking,['breaking'],AMZN,0.251,['Stock/Price Action']
165,$EA points to the two Facebook games and accuses $ZNGA of copyright infringement. http://stks.co/g3A1,['copyright infringement'],ZNGA,-0.284,['Corporate/Legal']
166,"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.","['Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.']",KGC,0.303,['Stock/Price Action/Current Price/Oversold']
167,RT @bman1 $LNG looks primed also $EGHT poised to run too...,['poised to run too'],LNG,0.381,['Stock/Price Action/Bullish']
168,$AAPL broke descending channel....will it hold?,['broke descending channel'],AAPL,-0.07,['Stock/Technical Analysis']
169,$JNK http://stks.co/2Fcm Does not want to go down... risk appetite still high,['Does not want to go down... risk appetite still high'],JNK,0.272,['Stock/Price Action/Bullish/Bullish Behavior']
170,"PNC, Goldman Sachs Receive Dividend Hike Green Light (But Don't Act): http://stks.co/2pa7 $PNC $GS",['Receive Dividend Hike Green Light'],PNC,0.316,['Corporate/Dividend Policy']
171,$AMD big dumping... would not touch it for a while,['big dumping... would not touch it for a while'],AMD,-0.699,['Stock/Price Action/Bearish/Bearish Behavior']
172,$GNRC finding support at its 10-day line so far.,['finding support at its 10-day line so far.'],GNRC,0.256,['Stock/Price Action/Bullish/Bullish Behavior']
173,"Loaded up on $bsx yesterday,looking good now. Still think way more upside than downside.",['Still think way more upside than downside.'],BSX,0.664,['Stock/Price Action/Bullish']
174,"$QCOR Just added 3,000 shares @28.","['Just added 3,000 shares']",QCOR,0.73,['Stock/Price Action/Bullish/Bull Position']
175,"RT @StockTwits RT @fallondpicks Breadth Consolidates: After weeks of steady gains,advances in mkt breadth slowe... http://stks.co/2TrG $QQQ","['After weeks of steady gains,advances in mkt breadth slowe']",QQQ,-0.146,['Stock/Price Action']
176,$AAPL rejected the hod...should head lower. Sitting on the sidelines for now.,['rejected the hod...should head lower'],AAPL,-0.36,['Stock/Price Action/Bearish/Bearish Behavior']
